ID,Type,SKU,Nom,Publié,Mis en avant,Visibilité dans le catalogue,Description,Description courte,Prix régulier,Catégories,Étiquettes,Stock,Statut du stock,Poids,Longueur,Largeur,Hauteur,Classe de livraison,Images,Limite d'achat,Produits similaires,Notes
,simple,PC-001,PC Gamer ASUS Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé ASUS avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-002,PC Gamer HP Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé HP avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-003,PC Gamer Dell Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé Dell avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-004,PC Gamer Acer Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé Acer avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-005,PC Gamer Lenovo Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé Lenovo avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-006,PC Gamer Corsair Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé Corsair avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-007,PC Gamer NZXT Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé NZXT avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-008,PC Gamer Gigabyte Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé Gigabyte avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-009,PC Gamer Alienware Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé Alienware avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-010,PC Gamer MSI Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé MSI avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-011,PC Gamer ASUS Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé ASUS avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-012,PC Gamer HP Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé HP avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-013,PC Gamer Dell Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé Dell avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-014,PC Gamer Acer Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé Acer avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-015,PC Gamer Lenovo Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé Lenovo avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
